household ID,District,village #,distvil,Longitude,Latitude,Decisions,Disputes,Protection,Rules,Poppies,Education_level,Group_cooperation,Household_size,Village_size,Healthcare_none,Healthcare_hospital,Healthcare_clinic,Healthcare_doctor,Healthcare_treatment,Healthcare_24hr,School_attendance,Hours_to_water,Electricity,Shura,Shura_role,Livestock,Land,Shura_attendance,Shura_membership,Shura_happiness,Shura_female,Shura_separatefemale,Hoququi_dispute,Money_proxy,Insecurity,Illness,FoodPrice_increase,FarmGatePrice_increase,DrinkWater_decrease,ManyRefugees,EmploymentLoss,Salary_decrease,Loss_house,Loss_livestock,Loss_other,Bicycle,Motorcycle,Car,Connections,Power,AgricultureOutput_decrease,Television,vehicle,Property,Economic_wellness
2411010105,ADRASKAN,101,ADRASKAN-101,62.12404,33.52562,Shura_member,Malik,Government,Malik,0,1,Yes,9,300,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,No,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,NO,NO,0,0,0
2411010106,ADRASKAN,101,ADRASKAN-101,62.12523,33.52745,Patriarch,Malik,Government,Malik,0,1,Yes,10,320,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,Own,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,YES,YES,0,1,0
2411010107,ADRASKAN,101,ADRASKAN-101,62.13074,33.52252,Farmer,Patriarch,Patriarch,Mosque_Priest,0,1,Yes,6,200,0,0,1,0,District,No,Same,1,No,No,Disputes,Yes,No,NO,NO,Happy,YES,YES,YES_resolved,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,3,Decentral,YES,YES,0,0,0
2411010108,ADRASKAN,101,ADRASKAN-101,62.13076,33.53349,Patriarch,Shura_Head,Patriarch,Patriarch,0,1,Yes,4,300,0,0,1,0,District,No,Same,1,No,?,Nothing,Yes,No,NO,NO,Happy,NO,YES,NO,YES,NO,YES,YES,?,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,3,Decentral,YES,NO,0,0,0
2411010109,ADRASKAN,101,ADRASKAN-101,62.1287,33.53069,Malik,Mosque_Priest,Patriarch,Mosque_Priest,0,1,Yes,8,370,0,0,1,0,District,No,Same,1,No,Yes,Nothing,Yes,Own,NO,NO,Happy,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,3,Decentral,YES,YES,1,1,1
2411010110,ADRASKAN,101,ADRASKAN-101,62.1288,33.53059,Malik,Patriarch,Patriarch,Patriarch,0,1,Declined,18,284,0,0,1,0,District,No,Same,1,No,Yes,Nothing,Yes,Own,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,NO,YES,0,1,1
2411010201,ADRASKAN,102,ADRASKAN-102,62.39473,33.48554,Malik,Malik,Government,Malik,0,1,Yes,14,200,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,Own,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,NO,0,1,0
2411010202,ADRASKAN,102,ADRASKAN-102,62.14425,33.54647,Malik,Malik,Government,Declined,0,1,Yes,15,200,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,No,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,NO,0,0,0
2411010203,ADRASKAN,102,ADRASKAN-102,62.14508,33.45745,Malik,Malik,Government,Malik,0,1,No,14,200,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,Own,NO,NO,Happy,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,2,Central,NO,YES,1,1,0
2411010204,ADRASKAN,102,ADRASKAN-102,62.14723,33.54747,Malik,Malik,Government,Malik,0,1,No,3,300,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,No,Own,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,NO,0,0,0
2411010205,ADRASKAN,102,ADRASKAN-102,62.14753,33.54931,Malik,Malik,Government,Malik,0,1,Yes,10,400,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,Own,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,2,Central,YES,YES,1,1,0
2411010206,ADRASKAN,102,ADRASKAN-102,62.14629,33.54926,Malik,Malik,Other,Malik,0,1,Yes,3,230,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,Own,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,NO,0,1,0
2411010207,ADRASKAN,102,ADRASKAN-102,62.14468,33.54876,Malik,Patriarch,Patriarch,Patriarch,0,1,Yes,6,385,0,0,1,0,District,No,Same,1,No,No,Disputes,Yes,No,NO,NO,Happy,YES,YES,YES_resolved,YES,NO,YES,YES,?,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,3,Decentral,NO,NO,0,0,0
2411010208,ADRASKAN,102,ADRASKAN-102,62.14631,33.54947,Malik,Patriarch,Shura_Head,Mosque_Priest,0,0,Declined,12,379,0,0,1,0,District,No,Same,1,No,Yes,Nothing,Yes,Own,NO,NO,Happy,NO,YES,?,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,4,Decentral,NO,YES,0,1,1
2411010209,ADRASKAN,102,ADRASKAN-102,62.14555,33.55092,Malik,Patriarch,Patriarch,Mosque_Priest,0,6,Yes,20,370,0,0,1,0,District,Yes,Same,1,No,Yes,Projects,Yes,Own,YES,YES,Happy,YES,YES,YES_resolved,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,YES,YES,0,1,1
2411010210,ADRASKAN,102,ADRASKAN-102,62.14758,33.54982,Malik,Patriarch,Patriarch,Malik,0,1,Yes,8,400,0,0,1,0,District,Yes,Same,1,No,No,Disputes,Yes,No,NO,NO,Happy,NO,YES,YES_resolved,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,NO,0,0,1
2411010301,ADRASKAN,103,ADRASKAN-103,62.15712,33.55505,Malik,Malik,Declined,Malik,0,1,Yes,4,150,1,0,0,0,Declined,No,Decreased,0,No,Yes,Other,Yes,No,NO,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Central,NO,NO,0,0,0
2411010302,ADRASKAN,103,ADRASKAN-103,62.15836,33.55482,Malik,Malik,Government,Malik,0,1,Yes,8,150,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,Own,YES,NO,Happy,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,2,Central,NO,YES,1,1,0
2411010303,ADRASKAN,103,ADRASKAN-103,62.15893,33.55496,Malik,Malik,Government,Malik,0,1,No,6,100,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,Own,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,NO,0,1,0
2411010304,ADRASKAN,103,ADRASKAN-103,62.15862,33.55516,Malik,Malik,Government,Malik,0,1,Yes,6,120,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,Own,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,NO,0,1,0
2411010305,ADRASKAN,103,ADRASKAN-103,62.15928,33.5551,Malik,Malik,Government,Malik,0,1,No,5,100,1,0,0,0,Declined,No,Same,1,No,?,Nothing,No,No,Declined,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,NO,0,0,0
2411010306,ADRASKAN,103,ADRASKAN-103,62.15894,33.55553,Malik,Malik,Government,Malik,0,1,Yes,8,120,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,Own,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,YES,0,1,0
2411010307,ADRASKAN,103,ADRASKAN-103,62.14547,33.55097,Patriarch,Patriarch,Shura_Head,Priest,0,1,Yes,5,80,0,0,1,0,District,No,Same,1,No,Yes,Disputes,No,No,NO,NO,Happy,NO,YES,YES_resolved,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,?,YES,0,0,1
2411010308,ADRASKAN,103,ADRASKAN-103,62.15796,33.55514,Shura_Head,Shura_Head,Declined,Patriarch,0,1,Yes,7,150,0,0,1,0,District,No,Same,1,No,Yes,Disputes,No,No,NO,NO,Happy,NO,YES,YES_resolved,YES,NO,YES,YES,?,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,NO,0,0,1
2411010309,ADRASKAN,103,ADRASKAN-103,62.15685,33.55398,Farmer,Patriarch,Declined,Declined,0,1,Yes,6,160,1,0,1,0,Declined,No,Same,0,No,Yes,Disputes,Yes,No,NO,NO,Happy,NO,YES,YES_resolved,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,2,Central,YES,NO,0,0,0
2411010310,ADRASKAN,103,ADRASKAN-103,62.15685,33.55508,Shura_Head,Patriarch,Patriarch,Shura_Head,0,6,Yes,12,?,0,0,1,0,District,Yes,Increased,3,No,No,Disputes,No,No,NO,NO,Happy,YES,YES,NO,YES,NO,YES,YES,?,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,NO,0,0,0
2411010401,ADRASKAN,104,ADRASKAN-104,62.17847,33.5589,Malik,Malik,Declined,Malik,0,1,No,7,100,0,0,1,0,District,Yes,Same,1,No,Yes,Disputes,Yes,No,NO,NO,Happy,NO,YES,YES_resolved,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,1,Central,NO,NO,0,0,0
2411010402,ADRASKAN,104,ADRASKAN-104,62.17855,33.55926,Malik,Patriarch,Patriarch,Shura_member,0,1,Yes,8,120,0,0,1,0,District,Yes,Same,1,No,Yes,Nothing,No,?,YES,NO,Happy,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,NO,YES,0,0,1
2411010403,ADRASKAN,104,ADRASKAN-104,62.17892,33.55927,Priest,Malik,Patriarch,Malik,0,1,Yes,3,100,0,0,1,0,District,No,Same,1,No,Yes,Disputes,No,No,NO,NO,Neutral_Unhappy,NO,YES,YES_resolved,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,3,Decentral,NO,NO,1,0,0
2411010404,ADRASKAN,104,ADRASKAN-104,62.19892,33.55901,Malik,Patriarch,Patriarch,Patriarch,0,1,Yes,5,98,0,0,1,0,District,Yes,Same,1,No,Yes,Irrigation_Water,Yes,Own,NO,NO,Happy,NO,YES,YES_resolved,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,2,Central,YES,YES,1,1,1
2411010405,ADRASKAN,104,ADRASKAN-104,62.17939,33.56885,Other,Patriarch,Declined,Patriarch,0,0,Yes,10,120,0,0,1,0,District,No,Same,1,No,Yes,Irrigation_Water,Yes,No,YES,NO,?,NO,YES,YES_resolved,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,2,Central,NO,NO,0,0,0
2411010406,ADRASKAN,104,ADRASKAN-104,62.17945,33.55866,Malik,Patriarch,Declined,Malik,0,0,Yes,8,100,1,0,1,0,District,No,Same,1,No,Shared,Disputes,Yes,No,YES,NO,Neutral_Unhappy,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,2,Central,NO,YES,1,0,0
2411010407,ADRASKAN,104,ADRASKAN-104,62.17881,33.55818,Shura_Head,Shura_Head,Government,Shura_Head,0,0,No,10,110,0,0,1,0,District,No,Same,1,No,Yes,Disputes,Yes,No,YES,YES,Happy,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,NO,0,0,1
2411010408,ADRASKAN,104,ADRASKAN-104,62.17961,33.55803,Shura_Head,Shura_Head,Government,Shura_Head,0,1,No,8,110,0,0,1,0,District,No,Same,1,No,Yes,Disputes,Yes,No,YES,NO,Happy,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,NO,0,0,1
2411010409,ADRASKAN,104,ADRASKAN-104,62.17979,33.55761,Shura_Head,Shura_Head,Government,Shura_Head,0,1,No,5,105,0,0,1,0,District,No,Same,0,No,?,Disputes,Yes,Own,YES,NO,Happy,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,NO,0,1,1
2411010410,ADRASKAN,104,ADRASKAN-104,62.18065,33.55783,Shura_Head,Shura_Head,Government,Shura_Head,0,1,No,10,120,0,0,1,0,District,No,Same,1,No,?,Disputes,Yes,No,YES,NO,Happy,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,NO,0,0,1
2411010501,ADRASKAN,105,ADRASKAN-105,62.18718,33.34009,Government,Malik,Malik,Malik,0,1,No,10,20,0,0,0,1,District,Yes,Same,0,No,No,Declined,Yes,Own,NO,NO,Happy,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,NO,0,1,1
2411010502,ADRASKAN,105,ADRASKAN-105,62.1873,33.34008,Malik,Malik,Malik,Malik,0,4,No,6,82,0,0,0,1,District,No,Same,1,No,No,Declined,No,Own,NO,NO,Happy,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,1,Central,YES,YES,1,0,1
2411010503,ADRASKAN,105,ADRASKAN-105,62.18771,33.54007,Malik,Malik,Malik,Declined,0,4,No,20,80,0,0,0,1,District,No,Same,1,No,Yes,Declined,Yes,Own,Declined,Declined,Happy,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,1,Central,YES,YES,1,1,1
2411010504,ADRASKAN,105,ADRASKAN-105,62.18771,33.34015,Malik,Declined,Malik,Declined,0,3,Declined,5,85,1,0,0,0,District,Yes,Same,1,No,No,Irrigation_Water,No,No,Declined,Declined,Happy,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,1,Central,NO,NO,0,0,0
2411010505,ADRASKAN,105,ADRASKAN-105,62.18757,33.34012,Farmer,Mosque_Priest,Other,Farmer,0,3,Yes,3,80,0,0,0,1,District,Yes,Same,1,No,No,Declined,Yes,Own,Declined,NO,Happy,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,YES,YES,0,1,1
2411010506,ADRASKAN,105,ADRASKAN-105,62.18531,33.56752,Malik,Patriarch,Administrator,Patriarch,0,1,Declined,22,90,0,0,1,0,District,No,Same,0,No,Yes,Nothing,Yes,Own,NO,NO,Happy,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,3,Decentral,NO,YES,0,1,0
2411010507,ADRASKAN,105,ADRASKAN-105,62.18468,33.56747,Farmer,Patriarch,Patriarch,Patriarch,0,1,Declined,6,20,0,0,1,0,District,No,Same,1,No,Yes,Irrigation_Water,No,No,Declined,Declined,Happy,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,YES,0,0,1
2411010508,ADRASKAN,105,ADRASKAN-105,62.18421,33.5673,Farmer,Patriarch,Administrator,Patriarch,0,3,Declined,10,20,0,0,1,0,District,No,Same,1,No,Yes,Irrigation_Water,?,Own,NO,NO,Happy,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,NO,YES,0,0,1
2411010509,ADRASKAN,105,ADRASKAN-105,62.1807,33.56734,Farmer,Patriarch,Malik,Patriarch,0,1,Declined,3,20,0,1,0,0,District,No,Same,1,No,Yes,Irrigation_Water,?,Own,NO,NO,Happy,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,NO,YES,0,0,1
2411010510,ADRASKAN,105,ADRASKAN-105,62.18445,33.56684,Patriarch,Patriarch,Patriarch,Patriarch,0,3,Declined,8,20,0,0,1,0,District,No,Same,1,No,Yes,Irrigation_Water,No,No,NO,NO,Happy,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,YES,0,0,1
2411010601,ADRASKAN,106,ADRASKAN-106,62.20247,33.59406,Shura_Head,Shura_Head,Government,Malik,0,1,No,6,40,0,0,1,0,District,No,Increased,1,No,Yes,Nothing,Yes,No,YES,NO,Happy,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,NO,YES,0,0,1
2411010602,ADRASKAN,106,ADRASKAN-106,62.20191,33.59409,Teacher,Shura_Head,Government,Shura_Head,0,1,No,7,40,0,0,1,0,District,No,Increased,1,No,Yes,Nothing,Yes,Own,YES,NO,Happy,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,NO,YES,0,1,1
2411010603,ADRASKAN,106,ADRASKAN-106,62.20298,33.59416,Malik,Patriarch,Administrator,Patriarch,0,1,Declined,8,40,0,0,0,0,Village,Yes,Increased,1,No,Yes,Nothing,No,No,NO,NO,Happy,NO,YES,NO,?,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,3,Decentral,NO,YES,1,0,1
2411010604,ADRASKAN,106,ADRASKAN-106,62.20292,33.59422,Priest,Qariyadar,Qariyadar,Priest,0,1,Yes,9,40,0,0,0,1,District,Yes,Same,1,No,No,Protection,No,Own,YES,NO,Happy,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,YES,0,0,1
2411010605,ADRASKAN,106,ADRASKAN-106,62.20272,33.59359,Malik,Shura_Head,Declined,Patriarch,0,1,Yes,10,40,1,0,0,0,Declined,No,Same,1,No,Yes,Disputes,Yes,No,YES,NO,Neutral_Unhappy,NO,YES,YES_resolved,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,3,Decentral,NO,YES,1,0,0
2411010606,ADRASKAN,106,ADRASKAN-106,62.20269,33.59338,Teacher,Shura_Head,Declined,Shura_Head,0,1,No,8,70,1,0,0,0,Declined,No,Same,1,No,Yes,Disputes,Yes,Own,YES,NO,Happy,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,?,YES,NO,2,Central,YES,YES,1,1,0
2411010607,ADRASKAN,106,ADRASKAN-106,62.20277,33.59319,Teacher,Shura_Head,Government,Shura_Head,0,1,Yes,10,40,0,0,1,0,District,No,Same,1,No,Yes,Nothing,No,No,YES,NO,Happy,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,3,Decentral,NO,NO,1,0,0
2411010608,ADRASKAN,106,ADRASKAN-106,62.20316,33.59452,Priest,Priest,Qariyadar,Qariyadar,0,1,Yes,4,40,0,0,0,1,District,Yes,Same,1,No,Yes,Declined,No,No,YES,NO,Happy,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,NO,0,0,1
2411010609,ADRASKAN,106,ADRASKAN-106,62.20277,33.59454,Priest,Patriarch,Qariyadar,Patriarch,0,0,Yes,6,40,1,0,0,0,District,No,Same,1,No,No,Declined,No,No,YES,NO,Happy,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,3,Decentral,NO,NO,0,0,0
2411010610,ADRASKAN,106,ADRASKAN-106,62.20333,33.59446,Malik,Qariyadar,Qariyadar,Qariyadar,0,1,No,8,40,0,0,0,1,District,Yes,Same,1,No,No,Protection,Yes,Own,YES,NO,Happy,?,YES,NO,?,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,YES,0,1,1
2411001102,ADRASKAN,11,ADRASKAN-11,62.24727,33.77786,Malik,Malik,Government,Malik,0,2,Yes,6,350,1,0,0,0,Declined,No,Same,0,No,Yes,Nothing,Yes,Own,NO,NO,Happy,YES,YES,YES_resolved,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,YES,YES,0,1,0
2411001103,ADRASKAN,11,ADRASKAN-11,62.24817,33.77692,Malik,Malik,Government,Malik,0,1,No,6,400,1,0,0,0,Declined,No,Same,1,No,Yes,Disputes,Yes,Own,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,2,Central,YES,YES,1,1,0
2411001104,ADRASKAN,11,ADRASKAN-11,62.24891,33.77567,Malik,Malik,Government,Malik,0,6,Yes,9,300,1,0,0,0,Declined,No,Same,1,No,Yes,Disputes,No,No,YES,NO,Happy,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,YES,0,0,0
